# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/work/geisingerlab/Mark/REF_GENOMES/17978-mff/NZ_CP012004.gtf" "-o" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/featurecounts/counts.txt" "-p" "-t" "transcript" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam" "/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DlpsB_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/DpbpG_3Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_1Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_2Aligned.sortedByCoord.out.bam	/work/geisingerlab/Mark/rnaSeq/2024-04-03_pbpGlpsB_clean-redo/data/mapped/WT_3Aligned.sortedByCoord.out.bam
gene-ACX60_RS00135	NZ_CP012004.1	32186	33475	+	1290	1140	1636	1858	1173	1082	1381	1259	1155	1388
gene-ACX60_RS00140	NZ_CP012004.1	33554	34285	+	732	185	283	290	169	216	219	224	197	285
gene-ACX60_RS00145	NZ_CP012004.1	34294	35184	-	891	194	319	323	214	273	272	308	236	325
gene-ACX60_RS00150	NZ_CP012004.1	35264	36559	-	1296	1064	1607	1307	1209	1366	1516	1020	1105	1186
gene-ACX60_RS00155	NZ_CP012004.1	36860	39544	-	2685	6927	10876	10478	7315	8895	8115	6995	8297	9018
gene-ACX60_RS00160	NZ_CP012004.1	39715	40338	-	624	245	303	421	230	268	308	261	258	271
gene-ACX60_RS00165	NZ_CP012004.1	40488	41588	+	1101	334	512	442	295	227	312	428	371	511
gene-ACX60_RS00170	NZ_CP012004.1	41591	44716	+	3126	973	1265	1319	825	908	914	978	1074	1224
gene-ACX60_RS00175	NZ_CP012004.1	44856	45233	+	378	813	1250	1203	927	907	1128	1091	1187	1213
gene-ACX60_RS00180	NZ_CP012004.1	45338	46450	+	1113	6156	10443	8706	6306	6222	6570	4413	4384	5553
gene-ACX60_RS00185	NZ_CP012004.1	46565	46912	-	348	67	84	74	53	62	65	50	44	41
gene-ACX60_RS00190	NZ_CP012004.1	47097	47918	+	822	947	1504	1541	1068	1279	1144	715	839	1044
gene-ACX60_RS00195	NZ_CP012004.1	47970	48623	+	654	388	546	579	342	339	466	289	274	487
gene-ACX60_RS00200	NZ_CP012004.1	48664	49854	-	1191	507	803	611	668	673	644	607	653	744
gene-ACX60_RS00205	NZ_CP012004.1	49859	50662	-	804	170	182	313	227	191	245	252	255	282
gene-ACX60_RS00210	NZ_CP012004.1	50783	51685	+	903	128	216	253	201	163	218	199	179	230
gene-ACX60_RS00215	NZ_CP012004.1	51669	52043	-	375	19	15	15	7	7	11	13	19	11
gene-ACX60_RS19395	NZ_CP012004.1	52051	52173	-	123	0	0	0	0	0	0	0	0	0
gene-ACX60_RS00220	NZ_CP012004.1	52134	53558	+	1425	237	391	357	259	279	305	296	361	388
gene-ACX60_RS00225	NZ_CP012004.1	53561	54589	-	1029	2092	3151	2704	2533	2896	2338	2278	2595	2931
gene-ACX60_RS00230	NZ_CP012004.1	54628	55188	-	561	929	1331	1535	1113	1075	1297	1139	1248	1402
gene-ACX60_RS00235	NZ_CP012004.1	55219	55464	-	246	289	531	493	402	404	438	342	366	454
gene-ACX60_RS00240	NZ_CP012004.1	55474	56010	-	537	403	674	646	409	454	524	345	380	513
gene-ACX60_RS00245	NZ_CP012004.1	56058	57092	-	1035	2455	3140	3211	2588	2284	2836	2584	2604	3120
gene-ACX60_RS00250	NZ_CP012004.1	57233	57595	-	363	2011	2865	3165	2050	1788	2357	1839	1997	2383
gene-ACX60_RS00255	NZ_CP012004.1	57781	58518	-	738	1503	2600	2561	1630	1639	1588	1079	1415	1769
gene-ACX60_RS00260	NZ_CP012004.1	58690	58848	-	159	30	75	78	36	36	65	25	28	41
gene-ACX60_RS00265	NZ_CP012004.1	59043	59501	+	459	145	170	212	147	117	131	107	156	164
gene-ACX60_RS00270	NZ_CP012004.1	59611	60783	+	1173	290	460	411	348	353	366	240	236	362
gene-ACX60_RS00275	NZ_CP012004.1	60889	62154	+	1266	1047	1698	1569	1516	1443	1373	1251	1544	1620
gene-ACX60_RS00280	NZ_CP012004.1	62170	63009	-	840	284	379	362	318	247	321	282	302	339
gene-ACX60_RS00285	NZ_CP012004.1	63295	63498	-	204	64	79	112	74	45	119	106	102	117
gene-ACX60_RS00290	NZ_CP012004.1	63691	64410	-	720	4196	6063	7004	5740	5161	7138	5042	5859	5798
gene-ACX60_RS00295	NZ_CP012004.1	64447	65049	-	603	9448	13693	13681	11717	10653	12851	10124	11203	12865
gene-ACX60_RS00300	NZ_CP012004.1	65065	65958	-	894	16505	23892	23911	16207	16217	17365	13582	14542	18381
gene-ACX60_RS00305	NZ_CP012004.1	66288	66932	+	645	905	1254	1245	1110	1281	943	1143	1165	1482
gene-ACX60_RS00310	NZ_CP012004.1	66987	67925	+	939	485	786	691	574	549	630	629	679	665
gene-ACX60_RS00315	NZ_CP012004.1	68104	69447	+	1344	138	186	180	122	105	183	110	139	198
gene-ACX60_RS00320	NZ_CP012004.1	69468	69938	-	471	81	144	150	100	98	119	112	133	157
gene-ACX60_RS00325	NZ_CP012004.1	70460	71515	+	1056	110	254	266	131	119	161	202	178	263
gene-ACX60_RS00330	NZ_CP012004.1	71582	72361	-	780	564	758	978	616	531	621	723	683	763
gene-ACX60_RS00335	NZ_CP012004.1	72660	73208	-	549	122	165	224	148	109	162	190	195	198
gene-ACX60_RS00340	NZ_CP012004.1	73226	73858	-	633	135	190	195	133	108	145	200	199	292
gene-ACX60_RS00345	NZ_CP012004.1	73845	75152	-	1308	355	523	536	373	358	435	603	671	807
gene-ACX60_RS00350	NZ_CP012004.1	75511	76899	+	1389	430	678	699	672	644	846	729	692	856
gene-ACX60_RS00355	NZ_CP012004.1	77063	77746	+	684	110	134	166	145	153	86	76	76	104
gene-ACX60_RS00360	NZ_CP012004.1	77889	79154	+	1266	28	58	74	47	33	66	40	36	50
gene-ACX60_RS00365	NZ_CP012004.1	79188	80300	-	1113	518	768	814	796	674	958	762	855	984
gene-ACX60_RS00370	NZ_CP012004.1	80653	81405	+	753	386	554	690	399	358	561	363	367	556
gene-ACX60_RS00375	NZ_CP012004.1	81402	81977	+	576	181	234	290	203	159	175	143	153	219
gene-ACX60_RS00380	NZ_CP012004.1	82229	83905	+	1677	35073	54306	55983	45758	46347	51924	38098	45158	55997
gene-ACX60_RS00385	NZ_CP012004.1	83993	85531	+	1539	24777	36619	41348	32274	27529	40499	34282	38338	43440
gene-ACX60_RS00390	NZ_CP012004.1	85596	87008	+	1413	11445	17393	17310	14941	15137	16978	14853	16997	19332
gene-ACX60_RS00395	NZ_CP012004.1	87060	88265	+	1206	7856	11957	13220	11176	11295	11871	8825	10525	12129
gene-ACX60_RS00400	NZ_CP012004.1	88276	89196	+	921	4661	6689	8144	6225	6230	7174	5323	6092	7104
gene-ACX60_RS00405	NZ_CP012004.1	89450	91276	+	1827	176	286	352	222	191	310	232	251	298
gene-ACX60_RS00410	NZ_CP012004.1	91375	92013	+	639	119	163	210	79	75	116	92	93	111
gene-ACX60_RS00415	NZ_CP012004.1	92037	92837	+	801	166	332	383	169	133	254	202	156	227
gene-ACX60_RS00420	NZ_CP012004.1	92824	93447	-	624	57	70	115	72	48	72	71	103	95
gene-ACX60_RS00425	NZ_CP012004.1	93679	94893	-	1215	82	148	225	100	46	124	216	279	304
gene-ACX60_RS00430	NZ_CP012004.1	95895	96189	+	295	37	54	59	38	32	51	52	36	58
gene-ACX60_RS00440	NZ_CP012004.1	96418	98256	-	1839	15719	24733	24871	25875	27539	28802	17659	19977	20271
gene-ACX60_RS00445	NZ_CP012004.1	98269	99633	-	1365	7619	12660	11644	12944	14333	12536	8237	9443	10286
gene-ACX60_RS00450	NZ_CP012004.1	99650	100165	-	516	1286	1967	2215	2308	2195	2726	1558	1728	1938
gene-ACX60_RS00455	NZ_CP012004.1	100143	101060	-	918	4019	5876	5718	5653	5546	5679	4536	4930	5730
gene-ACX60_RS00460	NZ_CP012004.1	101076	101525	-	450	3352	5094	5847	4837	4391	5836	4454	4933	5149
gene-ACX60_RS00465	NZ_CP012004.1	101529	101999	-	471	3043	4996	5057	4015	3804	4790	3664	3909	4167
gene-ACX60_RS00470	NZ_CP012004.1	102011	103132	-	1122	10814	15149	15535	15615	15881	15526	11740	13000	15968
gene-ACX60_RS00475	NZ_CP012004.1	103372	104679	-	1308	6267	8635	8908	8504	8628	8309	7121	7691	9122
gene-ACX60_RS00480	NZ_CP012004.1	104739	105962	+	1224	2446	3620	3910	3009	3132	3418	2809	3255	3491
gene-ACX60_RS00485	NZ_CP012004.1	106372	106707	+	336	4909	9349	8680	6363	5730	7516	6260	6590	7705
gene-ACX60_RS00490	NZ_CP012004.1	106962	107441	+	480	1226	2470	2645	2176	2019	2549	1731	1935	2069
gene-ACX60_RS00495	NZ_CP012004.1	107481	107924	-	444	401	676	681	496	541	470	632	646	693
gene-ACX60_RS00500	NZ_CP012004.1	108125	109648	+	1524	459	721	810	620	485	623	717	761	885
gene-ACX60_RS00505	NZ_CP012004.1	109778	110263	+	486	76	115	127	109	81	119	111	141	175
gene-ACX60_RS00510	NZ_CP012004.1	110404	111618	+	1215	1134	1752	2030	1409	1320	1531	1517	1531	1891
gene-ACX60_RS00515	NZ_CP012004.1	111769	112617	+	849	1577	2473	2637	2065	2008	2013	1655	1848	2243
gene-ACX60_RS00520	NZ_CP012004.1	112614	113465	+	852	3189	4868	4673	4040	4020	4409	3269	3463	4379
gene-ACX60_RS00525	NZ_CP012004.1	113686	114882	+	1197	1835	2487	2480	1268	1251	1271	1114	1143	1788
gene-ACX60_RS00530	NZ_CP012004.1	114952	116310	-	1359	1524	2050	1849	1966	2274	1923	1758	1894	2329
gene-ACX60_RS00535	NZ_CP012004.1	116320	117030	-	711	652	1081	1100	893	1041	1092	797	888	944
gene-ACX60_RS00540	NZ_CP012004.1	117286	117957	-	672	373	561	651	503	498	493	481	490	630
gene-ACX60_RS00545	NZ_CP012004.1	118154	118987	+	834	279	498	700	373	360	440	291	318	330
gene-ACX60_RS00550	NZ_CP012004.1	119044	120411	-	1368	1496	2210	2034	2286	2175	2031	1673	1865	2049
gene-ACX60_RS00555	NZ_CP012004.1	120518	121672	-	1155	1962	2933	2626	2169	2486	2283	1815	1766	2183
gene-ACX60_RS00560	NZ_CP012004.1	121700	123010	-	1311	2398	3531	3403	3024	2973	2890	2003	2348	2543
gene-ACX60_RS00565	NZ_CP012004.1	123024	123587	-	564	1369	2061	2340	1714	1756	1835	1172	1191	1592
gene-ACX60_RS00570	NZ_CP012004.1	123647	124186	-	540	402	638	880	585	658	710	504	503	635
gene-ACX60_RS00575	NZ_CP012004.1	124355	125932	+	1578	2048	3283	3109	3117	3335	3199	3365	3608	3722
gene-ACX60_RS00580	NZ_CP012004.1	125947	126462	+	516	330	666	562	533	535	738	625	659	747
gene-ACX60_RS00585	NZ_CP012004.1	126627	129734	+	3108	1233	2024	1951	1302	1172	2212	2110	2050	2272
gene-ACX60_RS00590	NZ_CP012004.1	129796	131015	-	1220	190	236	272	196	78	200	208	238	276
gene-ACX60_RS00605	NZ_CP012004.1	131270	133708	+	2439	328	544	752	489	447	630	527	467	632
gene-ACX60_RS00610	NZ_CP012004.1	133713	134519	+	807	85	207	237	151	175	140	87	93	157
gene-ACX60_RS00615	NZ_CP012004.1	134635	135360	+	726	13	17	28	9	12	10	4	4	6
gene-ACX60_RS19400	NZ_CP012004.1	135430	136101	+	672	0	8	18	12	0	11	2	4	4
gene-ACX60_RS00630	NZ_CP012004.1	136236	136892	-	657	14	20	49	4	14	21	36	24	42
gene-ACX60_RS00635	NZ_CP012004.1	137035	137391	+	357	2	6	10	2	2	12	16	18	9
gene-ACX60_RS00640	NZ_CP012004.1	137456	138799	-	1344	757	1292	1256	1279	1440	1278	909	922	1101
gene-ACX60_RS00645	NZ_CP012004.1	139011	139592	+	582	424	547	801	558	489	568	516	609	613
gene-ACX60_RS00650	NZ_CP012004.1	139607	141490	+	1884	3989	6619	5489	4988	5663	5260	4343	4988	5465
gene-ACX60_RS00655	NZ_CP012004.1	141612	142115	-	504	90	176	151	173	194	156	175	164	199
gene-ACX60_RS00660	NZ_CP012004.1	142112	143122	-	1011	260	328	351	351	303	305	364	360	538
gene-ACX60_RS00665	NZ_CP012004.1	143322	144479	+	1158	52	83	115	76	51	93	57	88	109
gene-ACX60_RS00670	NZ_CP012004.1	144532	145257	-	726	500	766	1112	882	713	1352	1011	972	1171
gene-ACX60_RS00675	NZ_CP012004.1	145379	146746	-	1368	208	305	301	291	323	392	396	404	466
gene-ACX60_RS00680	NZ_CP012004.1	146771	147094	-	324	18	19	54	42	56	39	45	57	65
gene-ACX60_RS00685	NZ_CP012004.1	147091	147594	-	504	24	58	83	65	74	78	114	49	80
gene-ACX60_RS00690	NZ_CP012004.1	147694	148659	-	966	200	227	265	277	317	300	255	291	328
gene-ACX60_RS00695	NZ_CP012004.1	148912	149262	+	351	5205	8395	12321	4562	4072	6063	3636	3701	5091
gene-ACX60_RS00700	NZ_CP012004.1	149421	149966	+	546	682	1164	1615	786	667	1013	588	550	822
gene-ACX60_RS00705	NZ_CP012004.1	149979	150746	+	768	2313	3808	3985	3231	3549	3413	2406	2579	3152
gene-ACX60_RS00710	NZ_CP012004.1	150775	152589	+	1815	4428	6295	6416	5983	6214	6441	5298	5528	6093
gene-ACX60_RS00715	NZ_CP012004.1	152581	153774	-	1194	256	351	383	350	315	376	374	358	357
gene-ACX60_RS00720	NZ_CP012004.1	153950	154861	-	912	595	916	1055	783	678	890	557	570	674
gene-ACX60_RS00725	NZ_CP012004.1	155011	155448	+	438	1528	2740	3165	1435	1293	1427	804	829	1055
gene-ACX60_RS00730	NZ_CP012004.1	155486	155836	-	351	106	203	278	167	141	216	167	159	171
gene-ACX60_RS00735	NZ_CP012004.1	156292	157116	-	825	1350	1903	2030	1860	2177	1992	1496	1716	1921
gene-ACX60_RS00740	NZ_CP012004.1	157155	157805	+	651	530	876	879	808	760	931	605	692	756
gene-ACX60_RS00745	NZ_CP012004.1	158046	158240	+	195	8	3	20	6	0	18	10	16	5
gene-ACX60_RS00750	NZ_CP012004.1	158484	160673	-	2190	116	154	140	150	140	168	146	94	142
gene-ACX60_RS00755	NZ_CP012004.1	160903	161115	-	213	22	33	60	23	21	31	34	37	32
gene-ACX60_RS00760	NZ_CP012004.1	161276	162220	+	945	917	1510	1578	1323	1310	1423	794	1034	1079
gene-ACX60_RS00765	NZ_CP012004.1	162458	163555	+	1098	3838	6065	5485	5825	6344	5570	3327	3780	4533
gene-ACX60_RS00770	NZ_CP012004.1	163567	165015	+	1449	5214	7638	7796	7802	8210	8462	5298	6166	6478
gene-ACX60_RS00775	NZ_CP012004.1	165053	165979	+	927	3609	5453	5363	4428	4889	4997	3168	3502	4180
gene-ACX60_RS00780	NZ_CP012004.1	165982	166836	+	855	2593	4174	3840	3884	4722	4231	2993	3523	3506
gene-ACX60_RS00785	NZ_CP012004.1	166897	168159	+	1263	7527	11441	10365	9366	10241	10201	7095	7871	8699
gene-ACX60_RS00790	NZ_CP012004.1	168324	169499	+	1176	13588	22651	22312	20465	22432	22141	13541	15580	16984
gene-ACX60_RS00795	NZ_CP012004.1	169610	170512	+	903	2797	4065	4551	3159	2821	3996	3111	3300	3847
gene-ACX60_RS00800	NZ_CP012004.1	170610	171050	-	441	1423	2206	2465	2276	2139	2447	1651	1631	1884
gene-ACX60_RS00805	NZ_CP012004.1	171158	171850	+	693	4849	6957	7680	6708	5769	7938	5101	5309	6359
gene-ACX60_RS00810	NZ_CP012004.1	172101	174818	+	2718	48485	75047	74040	85105	90835	90714	74292	79751	84325
gene-ACX60_RS00815	NZ_CP012004.1	174821	176809	+	1989	40156	59748	55094	76975	80091	81352	74899	80628	77320
gene-ACX60_RS00820	NZ_CP012004.1	176958	177230	+	273	118	177	187	118	116	146	139	119	186
gene-ACX60_RS00825	NZ_CP012004.1	177479	178054	+	576	1661	2381	2636	2627	1805	2677	2995	2726	3516
gene-ACX60_RS00830	NZ_CP012004.1	178113	180269	-	2157	278	438	510	456	401	450	514	412	539
gene-ACX60_RS00835	NZ_CP012004.1	180498	181295	+	798	132	208	261	141	141	171	211	202	303
gene-ACX60_RS00840	NZ_CP012004.1	181387	181752	+	366	90	110	128	102	68	81	72	77	120
gene-ACX60_RS00845	NZ_CP012004.1	181888	183354	+	1467	21864	34068	32767	31849	31960	35261	24480	29140	33116
gene-ACX60_RS00850	NZ_CP012004.1	183504	184841	+	1338	6541	11002	10536	9227	10181	10037	5534	6936	7735
gene-ACX60_RS00855	NZ_CP012004.1	184852	185508	+	657	4270	6425	5887	5628	6592	5681	3505	4385	4694
gene-ACX60_RS00860	NZ_CP012004.1	185509	187206	+	1698	2528	3799	3514	3240	3299	3224	1987	2235	2695
gene-ACX60_RS00865	NZ_CP012004.1	187254	188021	-	768	24185	41935	44835	44161	43391	44471	17496	21524	23698
gene-ACX60_RS00870	NZ_CP012004.1	188414	189509	+	1096	3979	6175	6487	5085	4866	5954	4881	5709	6091
gene-ACX60_RS00875	NZ_CP012004.1	189709	190011	+	303	850	1362	1248	1191	1265	1282	1001	1126	1267
gene-ACX60_RS00880	NZ_CP012004.1	190040	191098	+	1059	1447	2167	2112	1949	1977	2131	1642	1776	2098
gene-ACX60_RS00885	NZ_CP012004.1	191267	192559	+	1293	1778	3024	2871	2548	2731	2661	1678	1882	2204
gene-ACX60_RS00890	NZ_CP012004.1	192556	193263	+	708	495	693	884	701	572	860	645	617	614
gene-ACX60_RS00895	NZ_CP012004.1	193243	194223	-	981	918	1285	1440	1449	1311	1547	1231	1152	1241
gene-ACX60_RS00900	NZ_CP012004.1	194336	194911	-	576	323	463	542	484	440	451	386	371	560
gene-ACX60_RS00905	NZ_CP012004.1	195206	197155	+	1950	1242	1994	1860	1014	1176	974	819	869	1079
gene-ACX60_RS00910	NZ_CP012004.1	197202	197744	-	543	28	52	74	30	24	63	34	34	54
gene-ACX60_RS00915	NZ_CP012004.1	197850	198263	+	414	8	18	26	18	11	30	24	30	14
gene-ACX60_RS00920	NZ_CP012004.1	198355	199467	-	1113	163	215	168	202	196	167	176	161	181
gene-ACX60_RS00925	NZ_CP012004.1	199512	200249	-	738	115	181	211	171	208	164	123	134	144
gene-ACX60_RS00930	NZ_CP012004.1	200626	201276	+	651	1661	2511	2333	2049	1904	2212	2050	2314	2687
gene-ACX60_RS00935	NZ_CP012004.1	201319	202086	-	768	455	692	744	785	837	739	502	618	632
gene-ACX60_RS00940	NZ_CP012004.1	202480	205977	-	3498	2786	3892	3481	3359	3689	3048	3703	4153	4708
gene-ACX60_RS00945	NZ_CP012004.1	206161	206493	+	333	50	93	112	52	72	73	53	92	60
gene-ACX60_RS00950	NZ_CP012004.1	206495	208210	+	1716	815	1524	1224	835	858	780	810	1089	1030
gene-ACX60_RS00955	NZ_CP012004.1	208380	209072	+	693	78	79	104	66	57	72	56	66	96
gene-ACX60_RS00960	NZ_CP012004.1	209238	211205	+	1968	10059	14670	14899	14800	15430	15467	10983	12870	14043
gene-ACX60_RS00965	NZ_CP012004.1	211272	212171	-	900	51247	73729	81246	83612	69204	96015	92071	104721	100999
gene-ACX60_RS00970	NZ_CP012004.1	213164	214870	+	1707	224	255	330	196	154	267	314	264	355
gene-ACX60_RS00975	NZ_CP012004.1	214904	217738	-	2835	9672	15024	12952	10044	10541	9856	7017	8239	8937
gene-ACX60_RS00980	NZ_CP012004.1	218035	218637	+	603	298	375	419	346	415	382	258	306	411
gene-ACX60_RS00985	NZ_CP012004.1	218641	219618	+	978	760	1046	941	719	856	748	570	684	666
